Name,Type,Level,Rarity,Damage,Health,Energy,Sanity,Timestamp
Green Faerie,Fey,4,Rank 4,4d10+4,40.8,35.03,38.29,2024-08-03 11:09:02
Wyvern,Dragon,3,Rank 2,3d6+2,15.11,16.13,16.97,2024-08-03 11:09:02
Night Hag,Demonic,10,Rank 3,10d8+3,78.57,79.76,79.37,2024-08-03 11:09:02
Wyvern,Dragon,2,Rank 2,2d6+3,11.41,12.14,9.07,2024-08-03 11:09:02
Lightning Mephit,Elemental,5,Rank 4,5d10+2,49.25,47.98,51.18,2024-08-03 11:09:02
Sapphire Faerie,Fey,13,Rank 0,13d2+5,25.93,25.01,26.58,2024-08-03 11:09:02
Pseudodragon,Dragon,11,Rank 1,11d4,43.49,44.09,44.58,2024-08-03 11:09:02
Shadow Mephit,Elemental,7,Rank 4,7d10+3,70.28,70.87,67.23,2024-08-03 11:09:02
Ghoul,Undead,5,Rank 1,5d4+2,20.85,20.43,20.22,2024-08-03 11:09:02
Succubus,Devilkin,8,Rank 0,8d2+2,16.99,15.52,16.27,2024-08-03 11:09:02
Flame Elemental,Elemental,6,Rank 0,6d2+2,12.4,12.6,12.58,2024-08-03 11:09:02
Wraith,Undead,4,Rank 1,4d4+5,16.67,14.55,14.07,2024-08-03 11:09:02
Kobold Knight,Devilkin,7,Rank 2,7d6,42.23,41.42,42.25,2024-08-03 11:09:02
Lightning Spirit,Fey,10,Rank 0,10d2,21.0,19.56,20.74,2024-08-03 11:09:02
Zombie Mage,Undead,18,Rank 1,18d4+1,71.85,71.66,71.66,2024-08-03 11:09:02
Faerie Dragon,Dragon,13,Rank 1,13d4+2,51.15,50.82,52.26,2024-08-03 11:09:02
Pit Fiend,Demonic,3,Rank 2,3d6,18.0,16.55,19.21,2024-08-03 11:09:02
Revenant,Undead,4,Rank 1,4d4+1,17.27,15.31,15.98,2024-08-03 11:09:02
Red Dragon,Dragon,5,Rank 2,5d6+1,28.67,31.57,28.97,2024-08-03 11:09:02
Imp,Demonic,11,Rank 3,11d8+4,84.64,89.59,84.61,2024-08-03 11:09:02
Ghast,Undead,4,Rank 4,4d10,36.12,37.08,43.21,2024-08-03 11:09:02
Efreeti,Elemental,7,Rank 2,7d6+3,40.27,39.46,43.34,2024-08-03 11:09:02
Emerald Faerie,Fey,3,Rank 1,3d4,12.0,10.71,11.15,2024-08-03 11:09:02
Black Wyrmling,Dragon,2,Rank 4,2d10+3,19.04,23.39,19.23,2024-08-03 11:09:02
Smoke Mephit,Elemental,11,Rank 2,11d6+2,68.69,64.78,64.73,2024-08-03 11:09:02
Flame Spirit,Fey,13,Rank 2,13d6+1,77.68,78.98,77.66,2024-08-03 11:09:02
Gold Drake,Dragon,7,Rank 1,7d4,27.49,26.77,27.24,2024-08-03 11:09:02
Imp,Demonic,4,Rank 1,4d4+1,17.18,15.35,16.54,2024-08-03 11:09:02
Demilich,Undead,4,Rank 3,4d8+2,31.88,34.05,32.62,2024-08-03 11:09:02
Emerald Drake,Dragon,5,Rank 1,5d4,19.93,20.78,19.49,2024-08-03 11:09:02
Nightmare,Demonic,7,Rank 0,7d2+4,13.05,14.01,13.55,2024-08-03 11:09:02
Copper Faerie,Fey,6,Rank 1,6d4+2,22.55,23.07,23.6,2024-08-03 11:09:02
Ice Devil,Devilkin,4,Rank 2,4d6+2,23.8,23.49,24.18,2024-08-03 11:09:02
Sapphire Demon,Demonic,3,Rank 3,3d8,22.0,27.66,22.7,2024-08-03 11:09:02
Blue Faerie,Fey,4,Rank 2,4d6,23.68,24.51,25.72,2024-08-03 11:09:02
Black Wyrmling,Dragon,9,Rank 1,9d4,36.95,36.0,36.5,2024-08-03 11:09:02
Djinni,Elemental,11,Rank 0,11d2+2,22.88,21.03,22.89,2024-08-03 11:09:02
Hook Horror,Demonic,4,Rank 0,4d2+1,7.22,7.57,8.56,2024-08-03 11:09:02
Vampire,Undead,4,Rank 2,4d6,25.4,25.93,24.97,2024-08-03 11:09:02
Kobold Guard,Devilkin,5,Rank 1,5d4+1,20.95,20.86,19.11,2024-08-03 11:09:02
Silver Faerie,Fey,14,Rank 1,14d4,56.37,56.98,54.99,2024-08-03 11:09:02
Wyvern,Dragon,10,Rank 0,10d2+1,20.51,20.08,19.27,2024-08-03 11:09:02
Djinni,Elemental,17,Rank 0,17d2+4,34.38,33.75,34.39,2024-08-03 11:09:02
Platinum Faerie,Fey,11,Rank 1,11d4+2,44.16,42.29,43.24,2024-08-03 11:09:02
Pseudodragon,Dragon,5,Rank 0,5d2+2,10.38,10.83,9.28,2024-08-03 11:09:02
Hook Horror,Demonic,8,Rank 4,8d10+1,80.75,81.02,80.23,2024-08-03 11:09:02
Death Knight,Undead,4,Rank 0,4d2+1,7.84,7.32,8.77,2024-08-03 11:09:02
Pseudodragon,Dragon,5,Rank 2,5d6+2,29.23,28.24,29.0,2024-08-03 11:09:02
Black Demon,Demonic,4,Rank 0,4d2+4,8.08,7.6,8.53,2024-08-03 11:09:02
Mud Spirit,Fey,4,Rank 5,4d12+1,49.45,49.58,47.93,2024-08-03 11:09:02
Death Knight,Undead,17,Rank 0,17d2+4,34.69,33.91,33.42,2024-08-03 11:09:02
Succubus,Devilkin,4,Rank 1,4d4,16.31,16.73,14.45,2024-08-03 11:09:02
Djinni,Elemental,16,Rank 1,16d4+4,65.25,63.91,63.62,2024-08-03 11:09:02
Lich,Undead,15,Rank 1,15d4,59.17,60.76,59.78,2024-08-03 11:09:02
Sapphire Drake,Dragon,14,Rank 1,14d4+3,55.06,55.84,55.4,2024-08-03 11:09:02
Smoke Mephit,Elemental,16,Rank 2,16d6+1,96.33,96.3,94.26,2024-08-03 11:09:02
Night Hag,Demonic,2,Rank 3,2d8+2,18.43,19.76,14.56,2024-08-03 11:09:02
Ghostly Archer,Undead,11,Rank 0,11d2+2,22.85,22.39,22.55,2024-08-03 11:09:02
Dust Mephit,Elemental,4,Rank 2,4d6,23.78,23.46,22.07,2024-08-03 11:09:02
Bronze Faerie,Fey,17,Rank 0,17d2+2,34.27,33.19,33.82,2024-08-03 11:09:02
Wyvern,Dragon,9,Rank 0,9d2,17.01,18.58,17.29,2024-08-03 11:09:02
Lightning Mephit,Elemental,9,Rank 3,9d8,71.75,71.12,70.18,2024-08-03 11:09:02
Night Hag,Demonic,9,Rank 1,9d4+1,36.13,35.17,35.37,2024-08-03 11:09:02
Poltergeist,Undead,2,Rank 0,2d2+2,3.66,3.46,4.8,2024-08-03 11:09:02
Magma Devil,Devilkin,7,Rank 0,7d2+2,14.76,13.15,14.94,2024-08-03 11:09:02
Hell Hound,Demonic,3,Rank 2,3d6+3,15.19,19.44,16.47,2024-08-03 11:09:02
Dracolich,Undead,7,Rank 3,7d8,54.37,53.62,56.29,2024-08-03 11:09:02
Steam Mephit,Elemental,14,Rank 2,14d6,85.09,82.02,85.5,2024-08-03 11:09:02
Lightning Spirit,Fey,16,Rank 0,16d2+4,32.1,32.07,32.43,2024-08-03 11:09:02
Pseudodragon,Dragon,4,Rank 2,4d6+2,22.1,23.34,25.98,2024-08-03 11:09:02
Incubus,Devilkin,4,Rank 0,4d2+4,7.64,7.53,7.91,2024-08-03 11:09:02
Imp,Demonic,5,Rank 0,5d2+1,10.45,10.72,10.16,2024-08-03 11:09:02
Dracolich,Undead,10,Rank 0,10d2+3,19.13,19.13,19.85,2024-08-03 11:09:02
Succubus,Devilkin,2,Rank 0,2d2+2,4.57,3.82,4.2,2024-08-03 11:09:02
Magma Spirit,Fey,4,Rank 0,4d2+1,7.83,8.12,7.94,2024-08-03 11:09:02
Pit Lord,Devilkin,5,Rank 4,5d10+1,48.97,51.58,49.8,2024-08-03 11:09:02
Quasit,Demonic,10,Rank 0,10d2+2,19.02,19.53,20.73,2024-08-03 11:09:02
Prismatic Drake,Dragon,4,Rank 3,4d8+4,35.0,30.42,33.55,2024-08-03 11:09:02
Hell Hound,Demonic,8,Rank 0,8d2+5,16.07,16.8,16.01,2024-08-03 11:09:02
Lich,Undead,10,Rank 5,10d12+3,123.52,119.61,120.75,2024-08-03 11:09:02
Faerie Dragon,Dragon,11,Rank 4,11d10,113.58,106.55,113.57,2024-08-03 11:09:02
Efreeti,Elemental,5,Rank 0,5d2+1,9.12,10.2,10.47,2024-08-03 11:09:02
Brass Faerie,Fey,5,Rank 0,5d2+1,9.79,9.62,10.11,2024-08-03 11:09:02
Wyvern,Dragon,5,Rank 1,5d4+1,19.41,20.28,19.36,2024-08-03 11:09:02
Quasit,Demonic,10,Rank 1,10d4,39.59,41.42,39.62,2024-08-03 11:09:02
Ghoul,Undead,4,Rank 1,4d4,17.19,16.62,17.54,2024-08-03 11:09:02
Dust Devil,Devilkin,4,Rank 0,4d2+1,9.0,8.63,8.98,2024-08-03 11:09:02
Hell Hound,Demonic,6,Rank 0,6d2+4,11.22,12.36,11.46,2024-08-03 11:09:02
Zombie Mage,Undead,6,Rank 4,6d10+2,64.76,57.64,59.29,2024-08-03 11:09:02
Prince of Fear,Devilkin,3,Rank 0,3d2+1,6.8,6.45,6.36,2024-08-03 11:09:02
Spore Mephit,Elemental,15,Rank 0,15d2,29.91,30.73,29.08,2024-08-03 11:09:02
White Archfey,Fey,4,Rank 4,4d10,40.07,41.94,41.69,2024-08-03 11:09:02
Mummy,Undead,16,Rank 1,16d4+1,64.85,63.42,63.67,2024-08-03 11:09:02
Prince of Fear,Devilkin,13,Rank 0,13d2,26.64,26.89,25.88,2024-08-03 11:09:02
Efreeti,Elemental,7,Rank 3,7d8+3,57.35,52.12,55.43,2024-08-03 11:09:02
Blue Demon,Demonic,14,Rank 2,14d6+2,86.66,85.48,85.99,2024-08-03 11:09:02
Steam Spirit,Fey,16,Rank 3,16d8+1,130.39,128.81,126.89,2024-08-03 11:09:02
Pit Lord,Devilkin,11,Rank 1,11d4,43.8,43.12,42.8,2024-08-03 11:09:02
Lightning Mephit,Elemental,4,Rank 4,4d10,41.19,41.97,37.56,2024-08-03 11:09:02
Spore Archfey,Fey,6,Rank 1,6d4+5,23.27,24.49,23.19,2024-08-03 11:09:02
Ruby Dragon,Dragon,4,Rank 5,4d12,47.33,49.75,47.34,2024-08-03 11:09:02
Efreeti,Elemental,7,Rank 4,7d10+2,68.73,69.56,69.5,2024-08-03 11:09:02
Hook Horror,Demonic,17,Rank 2,17d6+2,100.38,100.83,100.12,2024-08-03 11:09:02
Banshee,Undead,14,Rank 3,14d8,109.02,115.1,109.93,2024-08-03 11:09:02
Pseudodragon,Dragon,10,Rank 3,10d8+4,80.02,78.34,81.49,2024-08-03 11:09:02
Succubus,Devilkin,5,Rank 1,5d4,18.58,19.18,20.63,2024-08-03 11:09:02
Diamond Demon,Demonic,3,Rank 3,3d8,23.02,23.73,20.95,2024-08-03 11:09:02
Ghast,Undead,7,Rank 1,7d4+1,27.45,28.75,27.8,2024-08-03 11:09:02
Silver Wyrmling,Dragon,7,Rank 4,7d10+2,67.76,74.94,73.26,2024-08-03 11:09:02
Prince of Fear,Devilkin,3,Rank 2,3d6,19.7,18.7,16.88,2024-08-03 11:09:02
Balor,Demonic,3,Rank 0,3d2+3,5.07,6.32,6.27,2024-08-03 11:09:02
Ghast,Undead,8,Rank 0,8d2+1,16.69,16.68,16.73,2024-08-03 11:09:02
Incubus,Devilkin,6,Rank 0,6d2,12.2,11.6,12.76,2024-08-03 11:09:02
Night Hag,Demonic,10,Rank 2,10d6+4,58.39,62.11,62.06,2024-08-03 11:09:02
Demilich,Undead,7,Rank 0,7d2+2,14.63,13.28,14.23,2024-08-03 11:09:02
Prince of Fear,Devilkin,4,Rank 1,4d4+3,14.88,14.02,16.11,2024-08-03 11:09:02
Djinni,Elemental,15,Rank 4,15d10+2,147.46,147.71,154.76,2024-08-03 11:09:02
Poltergeist,Undead,6,Rank 2,6d6,35.24,36.94,36.49,2024-08-03 11:09:02
Shadow Elemental,Elemental,5,Rank 0,5d2+3,10.14,9.76,9.03,2024-08-03 11:09:02
Steam Spirit,Fey,10,Rank 2,10d6+2,60.7,58.43,59.97,2024-08-03 11:09:02
Ghoul,Undead,13,Rank 3,13d8,102.21,104.05,105.6,2024-08-03 11:09:02
Efreeti,Elemental,3,Rank 2,3d6+3,20.31,18.1,15.8,2024-08-03 11:09:02
Platinum Faerie,Fey,8,Rank 3,8d8+3,63.79,64.49,65.71,2024-08-03 11:09:02
Wyvern,Dragon,8,Rank 3,8d8+3,66.06,62.81,65.68,2024-08-03 11:09:02
Quasit,Demonic,3,Rank 1,3d4+5,12.03,11.11,13.81,2024-08-03 11:09:02
Wyvern,Dragon,14,Rank 0,14d2,27.98,27.83,28.62,2024-08-03 11:09:02
Djinni,Elemental,13,Rank 2,13d6,77.55,76.62,79.88,2024-08-03 11:09:02
Brass Archfey,Fey,4,Rank 1,4d4,15.93,15.03,14.93,2024-08-03 11:09:02
Mummy,Undead,11,Rank 0,11d2+1,22.4,21.82,21.94,2024-08-03 11:09:02
Goblin Villager,Devilkin,11,Rank 2,11d6+1,67.8,66.95,63.11,2024-08-03 11:09:02
Ice Archfey,Fey,11,Rank 0,11d2+3,21.28,21.32,22.69,2024-08-03 11:09:02
Prince of Fear,Devilkin,2,Rank 3,2d8,16.72,16.14,18.28,2024-08-03 11:09:02
Nightmare,Demonic,8,Rank 1,8d4+2,32.14,31.69,32.83,2024-08-03 11:09:02
Banshee,Undead,2,Rank 1,2d4+1,7.98,8.12,8.99,2024-08-03 11:09:02
Pit Lord,Devilkin,6,Rank 0,6d2,11.24,12.62,11.07,2024-08-03 11:09:02
Quasit,Demonic,3,Rank 3,3d8+1,26.55,24.88,21.51,2024-08-03 11:09:02
Revenant,Undead,8,Rank 2,8d6+2,46.51,48.09,45.9,2024-08-03 11:09:02
Goblin Knight,Devilkin,3,Rank 0,3d2+3,5.65,6.68,5.23,2024-08-03 11:09:02
Sapphire Archfey,Fey,20,Rank 0,20d2+1,39.98,40.36,40.39,2024-08-03 11:09:02
Faerie Dragon,Dragon,5,Rank 1,5d4+5,18.5,18.49,20.44,2024-08-03 11:09:02
Shadow Elemental,Elemental,4,Rank 1,4d4,15.8,16.16,15.49,2024-08-03 11:09:02
Blue Faerie,Fey,9,Rank 3,9d8,71.28,74.24,71.14,2024-08-03 11:09:02
Kobold Guard,Devilkin,16,Rank 3,16d8+2,129.97,130.48,129.94,2024-08-03 11:09:02
Steam Archfey,Fey,7,Rank 3,7d8,56.41,56.67,53.19,2024-08-03 11:09:02
Pseudodragon,Dragon,10,Rank 3,10d8,80.75,76.49,79.9,2024-08-03 11:09:02
Efreeti,Elemental,18,Rank 1,18d4+1,71.64,72.36,71.34,2024-08-03 11:09:02
Copper Archfey,Fey,6,Rank 0,6d2+4,12.82,12.76,12.69,2024-08-03 11:09:02
Sapphire Drake,Dragon,9,Rank 0,9d2+4,17.64,17.6,18.01,2024-08-03 11:09:02
Ice Elemental,Elemental,7,Rank 1,7d4+1,28.46,27.8,28.89,2024-08-03 11:09:02
Spore Archfey,Fey,7,Rank 1,7d4,28.44,27.54,29.97,2024-08-03 11:09:02
Platinum Dragon,Dragon,7,Rank 0,7d2,13.92,14.66,13.55,2024-08-03 11:09:02
Kobold Archer,Devilkin,10,Rank 0,10d2+1,20.7,19.61,20.28,2024-08-03 11:09:02
Quasit,Demonic,4,Rank 2,4d6,23.9,25.51,22.12,2024-08-03 11:09:02
Lich King,Undead,14,Rank 1,14d4+2,55.08,55.45,56.43,2024-08-03 11:09:02
Succubus,Devilkin,4,Rank 4,4d10+1,43.76,40.29,39.67,2024-08-03 11:09:02
Hook Horror,Demonic,3,Rank 0,3d2,5.26,5.43,5.49,2024-08-03 11:09:02
Black Dragon,Dragon,8,Rank 0,8d2+2,16.77,16.76,16.05,2024-08-03 11:09:02
Kobold Mage,Devilkin,3,Rank 2,3d6+1,16.53,16.05,16.55,2024-08-03 11:09:02
Magma Mephit,Elemental,3,Rank 3,3d8+2,27.17,23.74,20.07,2024-08-03 11:09:02
Onyx Faerie,Fey,6,Rank 0,6d2+3,12.38,12.47,11.29,2024-08-03 11:09:02
Ruby Dragon,Dragon,5,Rank 0,5d2,10.85,10.6,10.24,2024-08-03 11:09:02
Nightmare,Demonic,15,Rank 2,15d6+1,90.43,89.28,90.03,2024-08-03 11:09:02
Green Dragon,Dragon,4,Rank 1,4d4+1,14.21,15.4,16.7,2024-08-03 11:09:02
Djinni,Elemental,2,Rank 3,2d8+3,14.78,14.65,19.11,2024-08-03 11:09:02
Red Faerie,Fey,2,Rank 0,2d2,4.0,4.23,4.94,2024-08-03 11:09:02
Pseudodragon,Dragon,3,Rank 1,3d4+3,11.46,12.34,12.55,2024-08-03 11:09:02
Flame Devil,Devilkin,7,Rank 3,7d8+3,54.09,57.13,55.89,2024-08-03 11:09:02
Night Hag,Demonic,5,Rank 4,5d10+2,47.91,47.06,54.25,2024-08-03 11:09:02
Prismatic Faerie,Fey,7,Rank 5,7d12,85.03,82.32,88.79,2024-08-03 11:09:02
Wyvern,Dragon,2,Rank 3,2d8+5,17.53,16.66,15.78,2024-08-03 11:09:02
Lightning Mephit,Elemental,12,Rank 2,12d6,69.51,73.68,69.76,2024-08-03 11:09:02
Night Hag,Demonic,13,Rank 4,13d10+3,125.33,125.56,130.88,2024-08-03 11:09:02
White Wyrmling,Dragon,4,Rank 2,4d6+2,25.75,24.83,25.29,2024-08-03 11:09:02
Balor,Demonic,4,Rank 1,4d4+2,15.61,14.42,17.89,2024-08-03 11:09:02
Wight,Undead,16,Rank 1,16d4+1,63.89,63.91,64.68,2024-08-03 11:09:02
Kobold Guard,Devilkin,9,Rank 4,9d10,92.1,87.99,92.44,2024-08-03 11:09:02
Smoke Mephit,Elemental,15,Rank 1,15d4,60.52,60.35,59.74,2024-08-03 11:09:02
Silver Faerie,Fey,9,Rank 0,9d2+2,18.62,18.77,17.2,2024-08-03 11:09:02
Faerie Dragon,Dragon,8,Rank 4,8d10+1,79.25,80.87,78.14,2024-08-03 11:09:02
Djinni,Elemental,11,Rank 4,11d10,113.5,107.09,113.67,2024-08-03 11:09:02
Bronze Faerie,Fey,2,Rank 0,2d2+4,4.67,4.01,4.25,2024-08-03 11:09:02
Faerie Dragon,Dragon,16,Rank 0,16d2+2,32.49,31.47,32.58,2024-08-03 11:09:02
Flame Elemental,Elemental,10,Rank 1,10d4,38.56,39.47,42.0,2024-08-03 11:09:02
Prismatic Demon,Demonic,10,Rank 1,10d4+2,40.45,39.67,39.08,2024-08-03 11:09:02
Wraith,Undead,17,Rank 4,17d10,172.51,170.14,167.65,2024-08-03 11:09:02
Mud Mephit,Elemental,1,Rank 1,1d4+1,2.91,4.19,3.4,2024-08-03 11:09:02
Imp,Demonic,7,Rank 1,7d4+1,27.41,27.77,28.34,2024-08-03 11:09:02
Zombie Archer,Undead,14,Rank 1,14d4+1,55.83,55.29,55.39,2024-08-03 11:09:02
Magma Devil,Devilkin,3,Rank 1,3d4+3,12.79,13.64,10.0,2024-08-03 11:09:02
Imp,Demonic,7,Rank 2,7d6+1,41.56,40.81,43.19,2024-08-03 11:09:02
Faerie Dragon,Dragon,9,Rank 1,9d4+3,37.17,37.4,36.03,2024-08-03 11:09:02
Ice Mephit,Elemental,15,Rank 2,15d6,88.2,92.84,90.35,2024-08-03 11:09:02
Smoke Spirit,Fey,7,Rank 2,7d6+1,43.8,43.08,41.76,2024-08-03 11:09:02
Dust Devil,Devilkin,7,Rank 0,7d2+2,14.59,13.95,14.98,2024-08-03 11:09:02
White Demon,Demonic,6,Rank 1,6d4,22.34,22.8,25.72,2024-08-03 11:09:02
Mummy,Undead,10,Rank 0,10d2+1,20.84,20.48,20.18,2024-08-03 11:09:02
Pit Lord,Devilkin,13,Rank 0,13d2+1,25.89,26.43,25.42,2024-08-03 11:09:02
Spore Elemental,Elemental,5,Rank 2,5d6+3,30.98,29.2,30.2,2024-08-03 11:09:02
Sapphire Faerie,Fey,10,Rank 3,10d8,78.06,78.43,79.09,2024-08-03 11:09:02
Pit Lord,Devilkin,9,Rank 3,9d8+1,69.31,75.09,75.49,2024-08-03 11:09:02
Red Demon,Demonic,18,Rank 3,18d8+1,144.59,141.54,147.61,2024-08-03 11:09:02
Banshee,Undead,11,Rank 0,11d2+3,22.25,21.72,22.16,2024-08-03 11:09:02
Goblin Mage,Devilkin,3,Rank 0,3d2+1,5.47,5.19,5.64,2024-08-03 11:09:02
Magma Mephit,Elemental,5,Rank 4,5d10+2,52.87,52.89,46.74,2024-08-03 11:09:02
Demilich,Undead,13,Rank 2,13d6+3,79.21,78.97,79.36,2024-08-03 11:09:02
Goblin Villager,Devilkin,15,Rank 0,15d2+2,29.14,29.62,30.19,2024-08-03 11:09:02
Emerald Demon,Demonic,11,Rank 1,11d4+3,45.17,44.05,43.48,2024-08-03 11:09:02
Mummy Lord,Undead,5,Rank 2,5d6,28.28,31.32,31.44,2024-08-03 11:09:02
Kobold Knight,Devilkin,12,Rank 3,12d8+1,93.49,94.29,94.78,2024-08-03 11:09:02
Green Archfey,Fey,5,Rank 1,5d4+3,20.32,20.35,18.39,2024-08-03 11:09:02
Faerie Dragon,Dragon,4,Rank 1,4d4,16.6,15.86,15.19,2024-08-03 11:09:02
Djinni,Elemental,8,Rank 3,8d8+2,61.15,66.39,65.77,2024-08-03 11:09:02
Red Faerie,Fey,3,Rank 0,3d2,5.14,6.17,6.77,2024-08-03 11:09:02
Emerald Drake,Dragon,3,Rank 0,3d2,6.61,6.56,6.81,2024-08-03 11:09:02
Djinni,Elemental,2,Rank 4,2d10,18.45,19.19,21.42,2024-08-03 11:09:02
Ice Spirit,Fey,9,Rank 1,9d4+3,37.13,34.48,35.02,2024-08-03 11:09:02
Prince of Fear,Devilkin,12,Rank 1,12d4,48.84,46.13,48.41,2024-08-03 11:09:02
Night Hag,Demonic,4,Rank 1,4d4+1,16.53,16.31,15.2,2024-08-03 11:09:02
Diamond Dragon,Dragon,16,Rank 2,16d6+4,95.73,97.98,97.68,2024-08-03 11:09:02
Djinni,Elemental,12,Rank 3,12d8,95.01,97.39,94.62,2024-08-03 11:09:02
Mud Archfey,Fey,4,Rank 1,4d4,16.03,14.34,14.79,2024-08-03 11:09:02
Wyvern,Dragon,6,Rank 1,6d4+1,24.54,25.28,22.63,2024-08-03 11:09:02
Magma Mephit,Elemental,18,Rank 1,18d4,72.3,73.8,71.1,2024-08-03 11:09:02
Onyx Faerie,Fey,2,Rank 1,2d4,7.09,6.64,8.06,2024-08-03 11:09:02
Wyvern,Dragon,10,Rank 0,10d2+3,20.86,19.03,19.4,2024-08-03 11:09:02
Succubus,Devilkin,9,Rank 1,9d4+4,36.66,36.75,34.58,2024-08-03 11:09:02
Flame Elemental,Elemental,7,Rank 2,7d6+2,40.44,41.41,43.35,2024-08-03 11:09:02
Revenant,Undead,13,Rank 0,13d2,25.76,26.02,26.38,2024-08-03 11:09:02
Djinni,Elemental,2,Rank 0,2d2+1,4.52,3.88,3.7,2024-08-03 11:09:02
Mummy,Undead,3,Rank 0,3d2,5.2,5.82,6.58,2024-08-03 11:09:02
Pit Lord,Devilkin,3,Rank 2,3d6,16.17,19.69,19.93,2024-08-03 11:09:02
Hell Hound,Demonic,8,Rank 2,8d6+3,47.26,49.4,49.01,2024-08-03 11:09:02
Ghostly Guard,Undead,8,Rank 5,8d12+1,100.1,99.05,98.65,2024-08-03 11:09:02
Spore Devil,Devilkin,4,Rank 3,4d8+2,34.23,32.37,33.89,2024-08-03 11:09:02
Djinni,Elemental,6,Rank 1,6d4+2,25.58,25.11,23.18,2024-08-03 11:09:02
Hell Hound,Demonic,2,Rank 0,2d2+3,4.93,4.76,3.13,2024-08-03 11:09:02
Smoke Spirit,Fey,10,Rank 2,10d6,59.53,60.95,58.57,2024-08-03 11:09:02
Blue Wyrmling,Dragon,3,Rank 1,3d4+3,11.98,10.59,11.39,2024-08-03 11:09:02
Steam Mephit,Elemental,10,Rank 0,10d2+3,19.99,19.44,19.53,2024-08-03 11:09:02
Banshee,Undead,1,Rank 4,1d10,8.64,9.18,8.86,2024-08-03 11:09:02
Goblin Archer,Devilkin,3,Rank 2,3d6+3,18.95,17.97,18.48,2024-08-03 11:09:02
Hook Horror,Demonic,10,Rank 3,10d8+1,82.07,81.03,78.81,2024-08-03 11:09:02
Ghast,Undead,5,Rank 1,5d4+3,18.14,20.81,19.04,2024-08-03 11:09:02
Djinni,Elemental,16,Rank 0,16d2+2,32.74,31.73,32.76,2024-08-03 11:09:02
Spore Spirit,Fey,8,Rank 1,8d4+3,32.13,31.0,30.12,2024-08-03 11:09:02
Banshee,Undead,14,Rank 3,14d8+4,109.66,110.78,110.76,2024-08-03 11:09:02
Pit Lord,Devilkin,2,Rank 0,2d2+4,4.5,3.77,4.36,2024-08-03 11:09:02
Balor,Demonic,17,Rank 2,17d6+1,103.92,101.12,101.4,2024-08-03 11:09:02
Poltergeist,Undead,4,Rank 0,4d2,8.77,7.18,8.18,2024-08-03 11:09:02
Succubus,Devilkin,13,Rank 0,13d2,25.21,26.6,26.35,2024-08-03 11:09:02
Balor,Demonic,9,Rank 1,9d4+3,36.67,36.06,36.56,2024-08-03 11:09:02
Revenant,Undead,3,Rank 1,3d4+2,12.24,11.42,13.76,2024-08-03 11:09:02
Magma Devil,Devilkin,5,Rank 3,5d8+2,40.8,38.24,36.85,2024-08-03 11:09:02
Brass Faerie,Fey,4,Rank 1,4d4+1,14.82,14.45,15.97,2024-08-03 11:09:02
Revenant,Undead,3,Rank 1,3d4+3,13.07,12.23,10.07,2024-08-03 11:09:02
Pit Lord,Devilkin,3,Rank 1,3d4,10.3,11.2,11.99,2024-08-03 11:09:02
Nightmare,Demonic,10,Rank 2,10d6+3,60.15,58.83,61.89,2024-08-03 11:09:02
Wraith,Undead,12,Rank 2,12d6+3,69.77,71.62,72.69,2024-08-03 11:09:02
Incubus,Devilkin,12,Rank 3,12d8+2,97.66,97.33,95.69,2024-08-03 11:09:02
Ice Mephit,Elemental,2,Rank 4,2d10+3,23.69,16.04,22.19,2024-08-03 11:09:02
White Demon,Demonic,11,Rank 0,11d2+1,22.27,21.63,21.13,2024-08-03 11:09:02
Wraith,Undead,13,Rank 1,13d4+1,52.6,51.56,51.02,2024-08-03 11:09:02
Kobold Knight,Devilkin,6,Rank 0,6d2+5,11.57,12.0,12.67,2024-08-03 11:09:02
Imp,Demonic,5,Rank 1,5d4+1,21.03,20.2,19.3,2024-08-03 11:09:02
Blue Archfey,Fey,1,Rank 0,1d2+1,2.37,1.67,2.93,2024-08-03 11:09:02
Ghoul,Undead,2,Rank 2,2d6+3,13.23,9.07,11.27,2024-08-03 11:09:02
Pit Lord,Devilkin,6,Rank 0,6d2+3,11.92,12.96,11.86,2024-08-03 11:09:02
Nightmare,Demonic,2,Rank 1,2d4+5,7.2,7.29,9.24,2024-08-03 11:09:02
Prismatic Faerie,Fey,13,Rank 4,13d10+3,133.23,128.23,132.58,2024-08-03 11:09:02
Dracolich,Undead,4,Rank 3,4d8+4,34.73,35.76,34.99,2024-08-03 11:09:02
Lightning Devil,Devilkin,16,Rank 4,16d10,162.83,157.5,163.7,2024-08-03 11:09:02
Balor,Demonic,11,Rank 0,11d2+1,22.19,22.05,21.38,2024-08-03 11:09:02
Smoke Spirit,Fey,4,Rank 0,4d2,8.93,8.94,7.25,2024-08-03 11:09:02
Pseudodragon,Dragon,7,Rank 0,7d2+1,14.9,14.97,14.1,2024-08-03 11:09:02
Efreeti,Elemental,12,Rank 1,12d4+2,49.24,48.94,48.04,2024-08-03 11:09:02
Dust Archfey,Fey,9,Rank 0,9d2+4,18.4,17.45,18.31,2024-08-03 11:09:02
Diamond Dragon,Dragon,10,Rank 1,10d4+1,39.46,40.11,39.62,2024-08-03 11:09:02
Kobold Guard,Devilkin,11,Rank 2,11d6,65.79,67.34,66.78,2024-08-03 11:09:02
